
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::               (v3.4.13)

2026-06-11T00:22:43.830-04:00  INFO 18252 --- [TECHMARKET-ia] [           main] c.t.techmarket.IaServiceApplication      : Starting IaServiceApplication using Java 21.0.10 with PID 18252 (C:\Users\bruno\Documentos\Proyectos\TechMarket-Back\TechMarket-IA\target\classes started by bruno in C:\Users\bruno\Documentos\Proyectos\TechMarket-Back\TechMarket-IA)
2026-06-11T00:22:43.874-04:00 DEBUG 18252 --- [TECHMARKET-ia] [           main] c.t.techmarket.IaServiceApplication      : Running with Spring Boot v3.4.13, Spring v6.2.15
2026-06-11T00:22:43.874-04:00  INFO 18252 --- [TECHMARKET-ia] [           main] c.t.techmarket.IaServiceApplication      : The following 1 profile is active: "dev"
2026-06-11T00:22:47.879-04:00  INFO 18252 --- [TECHMARKET-ia] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-11T00:22:47.883-04:00  INFO 18252 --- [TECHMARKET-ia] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-11T00:22:48.923-04:00  INFO 18252 --- [TECHMARKET-ia] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 1018 ms. Found 66 JPA repository interfaces.
2026-06-11T00:22:48.998-04:00  INFO 18252 --- [TECHMARKET-ia] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-11T00:22:49.000-04:00  INFO 18252 --- [TECHMARKET-ia] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2026-06-11T00:22:49.185-04:00  INFO 18252 --- [TECHMARKET-ia] [           main] .RepositoryConfigurationExtensionSupport : Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.techmarket.techmarket.admin.infrastructure.persistence.jpa.repository.AdminAuditLogSpringDataRepository; If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository
2026-06-11T00:22:49.185-04:00  INFO 18252 --- [TECHMARKET-ia] [           main] .RepositoryConfigurationExtensionSupport : Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.techmarket.techmarket.admin.infrastructure.persistence.jpa.repository.AdminModerationActionSpringDataRepository; If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository
